OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,CostPrice,Revenue,Profit,Region
O000038,2025-02-18,C0148,P0130,10,691.49,390.32,6914.9,3011.7,West
O000039,2024-01-07,C0450,P0156,3,225.57,172.06,676.71,160.53,West
O000040,2024-03-14,C0932,P0179,10,313.11,249.68,3131.1,634.3,East
O000041,2024-10-26,C0507,P0022,4,62.99,37.76,251.96,100.92,North
O000042,2024-04-12,C0536,P0050,8,422.32,271.92,3378.56,1203.2,South
O000043,2024-07-04,C0803,P0028,1,104.81,80.66,104.81,24.15,East
O000044,2024-01-11,C0091,P0097,3,783.03,441.3,2349.09,1025.19,East
O000045,2024-07-24,C0612,P0062,9,584.11,492.73,5256.99,822.42,West
O000046,2024-12-25,C0977,P0054,10,53.27,35.0,532.7,182.7,North
O000047,2025-01-28,C0570,P0043,5,733.91,464.81,3669.55,1345.5,South
O000048,2024-03-13,C0752,P0050,10,427.93,271.92,4279.3,1560.1,East
O000049,2024-01-22,C0303,P0199,9,537.08,437.0,4833.72,900.72,South
O000050,2025-09-21,C0137,P0136,6,293.08,225.73,1758.48,404.1,West
O000051,2024-06-23,C0639,P0021,9,474.2,411.79,4267.8,561.69,North
O000052,2024-10-05,C0073,P0153,2,454.72,333.18,909.44,243.08,South
O000053,2024-10-31,C0958,P0160,9,761.3,475.06,6851.7,2576.16,South
O000054,2025-01-09,C0743,P0106,4,772.88,469.92,3091.52,1211.84,East
O000055,2024-11-02,C0261,P0069,3,57.77,38.92,173.31,56.55,South
O000056,2025-07-17,C0018,P0151,6,155.74,86.7,934.44,414.24,North
O000057,2025-10-02,C0379,P0077,3,456.32,271.13,1368.96,555.57,North
O000058,2024-11-30,C0137,P0088,6,616.54,386.7,3699.24,1379.04,South
O000059,2025-01-04,C0296,P0147,9,662.42,427.46,5961.78,2114.64,East
O000060,2024-06-21,C0913,P0182,3,13.64,10.02,40.92,10.86,East
O000061,2025-12-29,C0470,P0034,1,633.77,382.17,633.77,251.6,West
O000062,2024-11-20,C0750,P0181,5,763.75,440.76,3818.75,1614.95,North
O000063,2024-02-26,C0958,P0149,10,134.48,113.61,1344.8,208.7,West
O000064,2025-12-23,C0298,P0116,9,545.59,350.12,4910.31,1759.23,East
O000065,2025-07-03,C0911,P0120,3,422.62,305.3,1267.86,351.96,West
O000066,2025-10-01,C0999,P0042,9,230.96,136.2,2078.64,852.84,East
O000067,2025-11-15,C0433,P0094,9,535.79,342.62,4822.11,1738.53,West
O000068,2024-03-25,C0361,P0165,6,821.17,464.8,4927.02,2138.22,West
O000069,2024-02-27,C0302,P0113,2,324.44,218.49,648.88,211.9,North
O000070,2024-02-27,C0301,P0012,3,620.17,415.56,1860.51,613.83,North
O000071,2025-11-07,C0510,P0077,4,402.36,271.13,1609.44,524.92,West
O000072,2025-01-04,C0344,P0107,10,388.18,292.39,3881.8,957.9,East
O000073,2025-07-30,C0945,P0129,2,151.7,125.77,303.4,51.86,East
O000074,2024-02-19,C0958,P0071,2,459.67,299.29,919.34,320.76,North
O000075,2025-09-06,C0010,P0095,7,605.22,391.16,4236.54,1498.42,North
O000076,2024-09-10,C0137,P0044,7,191.91,159.3,1343.37,228.27,South
O000077,2025-09-14,C0439,P0063,9,246.8,214.39,2221.2,291.69,North
O000078,2025-11-19,C0284,P0172,10,552.81,319.61,5528.1,2332.0,East
O000079,2024-11-26,C0445,P0102,3,672.65,411.17,2017.95,784.44,North
O000080,2024-01-01,C0688,P0171,2,637.62,412.05,1275.24,451.14,South
O000081,2025-09-20,C0764,P0085,7,287.22,174.73,2010.54,787.43,West
O000082,2025-11-04,C0870,P0156,2,253.38,172.06,506.76,162.64,West
O000083,2024-03-06,C0331,P0094,3,530.42,342.62,1591.26,563.4,East
O000084,2025-09-16,C0603,P0042,10,189.91,136.2,1899.1,537.1,South
O000085,2024-08-28,C0390,P0190,6,200.21,129.44,1201.26,424.62,West
O000086,2025-03-15,C0155,P0041,6,80.56,68.55,483.36,72.06,West
O000087,2024-10-11,C0631,P0191,1,74.02,64.18,74.02,9.84,North
O000088,2025-03-09,C0287,P0092,8,96.01,78.31,768.08,141.6,West
O000089,2025-08-14,C0652,P0018,2,312.93,269.4,625.86,87.06,East
O000090,2024-04-26,C0311,P0143,1,353.49,273.59,353.49,79.9,West
O000091,2024-06-07,C0430,P0130,2,607.96,390.32,1215.92,435.28,East
O000092,2025-02-22,C0722,P0005,2,475.26,282.82,950.52,384.88,East
O000093,2025-11-12,C0335,P0099,8,108.49,83.8,867.92,197.52,North
O000094,2025-10-20,C0532,P0018,2,332.61,269.4,665.22,126.42,South
O000095,2025-12-14,C0320,P0168,9,468.15,302.2,4213.35,1493.55,East
O000096,2024-06-22,C0213,P0197,8,778.01,487.28,6224.08,2325.84,West
O000097,2025-10-09,C0602,P0092,8,110.33,78.31,882.64,256.16,West
O000098,2024-11-06,C0597,P0149,1,176.72,113.61,176.72,63.11,East
O000099,2024-03-27,C0018,P0024,9,215.81,136.12,1942.29,717.21,West
O000100,2024-08-28,C0719,P0003,10,481.48,297.29,4814.8,1841.9,North
O000101,2024-08-26,C0918,P0161,9,178.18,123.08,1603.62,495.9,West
O000102,2025-11-22,C0658,P0002,7,601.5,369.55,4210.5,1623.65,North
O000103,2024-05-20,C0960,P0043,1,560.55,464.81,560.55,95.74,East
O000104,2025-09-01,C0260,P0121,4,388.0,223.87,1552.0,656.52,East
O000105,2025-04-05,C0564,P0165,1,593.64,464.8,593.64,128.84,East
O000106,2025-03-28,C0128,P0107,3,475.9,292.39,1427.7,550.53,North
O000107,2024-02-19,C0596,P0028,4,132.59,80.66,530.36,207.72,West
O000108,2025-08-11,C0901,P0108,7,485.98,300.3,3401.86,1299.76,North
O000109,2025-10-25,C0816,P0115,9,218.22,158.1,1963.98,541.08,West
O000110,2025-09-11,C0676,P0191,5,96.21,64.18,481.05,160.15,West
O000111,2024-01-24,C0764,P0033,4,311.64,229.59,1246.56,328.2,North
O000112,2025-09-20,C0147,P0176,4,239.52,164.54,958.08,299.92,South
O000113,2025-04-01,C0531,P0149,1,143.37,113.61,143.37,29.76,East
O000114,2025-08-14,C0107,P0084,6,168.42,139.81,1010.52,171.66,West
O000115,2024-06-16,C0888,P0139,6,51.68,43.35,310.08,49.98,West
O000116,2025-10-16,C0851,P0072,9,407.99,330.4,3671.91,698.31,North
O000117,2024-10-14,C0005,P0048,5,148.39,118.33,741.95,150.3,South
O000118,2024-09-17,C0843,P0026,1,348.09,202.7,348.09,145.39,East
O000119,2025-02-07,C0479,P0120,1,462.12,305.3,462.12,156.82,South
O000120,2024-07-15,C0774,P0136,10,390.37,225.73,3903.7,1646.4,East
O000121,2025-03-19,C0607,P0119,7,262.6,155.42,1838.2,750.26,West
O000122,2025-06-27,C0753,P0200,6,349.4,241.96,2096.4,644.64,West
O000123,2024-09-17,C0944,P0091,1,39.99,22.83,39.99,17.16,North
O000124,2024-09-16,C0096,P0180,4,193.66,110.0,774.64,334.64,North
O000125,2024-06-03,C0741,P0146,5,429.39,241.1,2146.95,941.45,South
O000126,2025-09-18,C0746,P0042,9,168.94,136.2,1520.46,294.66,South
O000127,2025-07-16,C0143,P0101,6,513.22,409.21,3079.32,624.06,East
O000128,2024-05-06,C0786,P0068,10,122.38,82.93,1223.8,394.5,North
O000129,2025-11-13,C0971,P0164,5,790.95,482.54,3954.75,1542.05,West
O000130,2025-08-26,C0465,P0084,2,245.69,139.81,491.38,211.76,North
O000131,2024-07-21,C0564,P0020,3,545.16,343.88,1635.48,603.84,South
O000132,2025-02-15,C0230,P0128,8,520.55,360.58,4164.4,1279.76,North
O000133,2024-11-18,C0015,P0066,10,435.59,273.39,4355.9,1622.0,West
O000134,2024-03-08,C0776,P0175,5,261.88,220.61,1309.4,206.35,North
O000135,2025-05-01,C0372,P0177,3,582.84,441.41,1748.52,424.29,South
O000136,2024-10-14,C0676,P0049,3,342.78,259.51,1028.34,249.81,West
O000137,2024-05-13,C0163,P0051,2,396.05,238.97,792.1,314.16,East
O000138,2024-02-01,C0893,P0107,8,468.66,292.39,3749.28,1410.16,East
O000139,2025-01-20,C0035,P0039,6,209.36,123.53,1256.16,514.98,West
O000140,2024-06-27,C0885,P0024,4,217.18,136.12,868.72,324.24,West
O000141,2024-09-09,C0700,P0057,4,150.23,128.65,600.92,86.32,West
O000142,2024-06-20,C0929,P0178,8,484.83,307.11,3878.64,1421.76,South
O000143,2024-12-22,C0031,P0067,4,49.54,29.82,198.16,78.88,West
O000144,2025-02-25,C0749,P0098,7,680.78,462.62,4765.46,1527.12,South
O000145,2025-02-06,C0824,P0048,7,160.27,118.33,1121.89,293.58,West
O000146,2025-10-07,C0050,P0181,10,768.51,440.76,7685.1,3277.5,South
O000147,2024-02-12,C0837,P0102,2,681.43,411.17,1362.86,540.52,South
O000148,2025-07-29,C0587,P0089,6,490.14,371.91,2940.84,709.38,North
O000149,2025-12-20,C0085,P0161,7,181.25,123.08,1268.75,407.19,East
O000150,2025-08-16,C0767,P0168,5,521.86,302.2,2609.3,1098.3,West
O000151,2024-03-27,C0817,P0105,1,407.3,322.53,407.3,84.77,East
O000152,2024-04-24,C0485,P0153,5,473.19,333.18,2365.95,700.05,East
O000153,2025-02-16,C0849,P0165,6,655.2,464.8,3931.2,1142.4,North
O000154,2024-10-19,C0627,P0131,8,470.33,261.39,3762.64,1671.52,East
O000155,2025-06-04,C0448,P0193,10,406.42,296.85,4064.2,1095.7,East
O000156,2025-04-10,C0239,P0025,1,216.67,135.06,216.67,81.61,West
O000157,2024-07-24,C0470,P0030,8,352.21,266.91,2817.68,682.4,South
O000158,2025-10-03,C0622,P0003,3,431.47,297.29,1294.41,402.54,West
O000159,2025-07-09,C0848,P0075,6,220.64,161.51,1323.84,354.78,West
O000160,2024-09-04,C0423,P0042,2,183.78,136.2,367.56,95.16,East
O000161,2025-04-04,C0895,P0122,3,693.99,397.9,2081.97,888.27,East
O000162,2025-01-24,C0846,P0026,1,270.25,202.7,270.25,67.55,West
O000163,2024-10-05,C0576,P0001,8,585.86,372.07,4686.88,1710.32,West
O000164,2024-04-01,C0164,P0002,10,609.24,369.55,6092.4,2396.9,East
O000165,2024-06-02,C0575,P0001,8,496.62,372.07,3972.96,996.4,South
O000166,2025-06-10,C0757,P0001,1,531.26,372.07,531.26,159.19,South
O000167,2024-09-24,C0994,P0160,2,851.06,475.06,1702.12,752.0,West
O000168,2024-12-17,C0835,P0198,10,741.6,472.32,7416.0,2692.8,South
O000169,2024-05-10,C0995,P0073,5,787.81,467.68,3939.05,1600.65,West
O000170,2024-04-14,C0881,P0061,9,695.38,451.71,6258.42,2193.03,North
O000171,2025-07-02,C0361,P0184,8,559.39,346.85,4475.12,1700.32,East
O000172,2024-07-30,C0052,P0029,3,47.43,36.45,142.29,32.94,West
O000173,2025-04-03,C0850,P0064,2,586.29,360.61,1172.58,451.36,West
O000174,2024-06-20,C0660,P0070,1,78.56,64.34,78.56,14.22,West
O000175,2025-08-15,C0942,P0024,4,193.31,136.12,773.24,228.76,South
O000176,2025-12-22,C0924,P0033,1,337.27,229.59,337.27,107.68,West
O000177,2025-07-23,C0251,P0154,9,558.54,434.09,5026.86,1120.05,North
O000178,2025-12-20,C0516,P0051,10,390.19,238.97,3901.9,1512.2,South
O000179,2025-01-22,C0363,P0062,7,822.78,492.73,5759.46,2310.35,East
O000180,2024-05-07,C0287,P0055,1,189.5,128.08,189.5,61.42,North
O000181,2025-08-01,C0583,P0123,10,73.26,46.97,732.6,262.9,West
O000182,2024-11-11,C0127,P0016,2,329.98,188.24,659.96,283.48,North
O000183,2024-04-09,C0400,P0166,10,794.4,471.03,7944.0,3233.7,West
O000184,2025-12-19,C0575,P0151,7,130.49,86.7,913.43,306.53,North
O000185,2024-05-03,C0980,P0118,5,377.32,286.71,1886.6,453.05,South
O000186,2025-03-25,C0039,P0036,8,125.61,80.66,1004.88,359.6,West
O000187,2025-04-03,C0637,P0195,4,197.21,117.6,788.84,318.44,South
O000188,2025-09-17,C0693,P0071,2,391.96,299.29,783.92,185.34,North
O000189,2024-08-26,C0666,P0048,9,191.85,118.33,1726.65,661.68,West
O000190,2025-11-22,C0351,P0144,4,676.67,417.28,2706.68,1037.56,East
O000191,2025-12-28,C0901,P0068,8,137.23,82.93,1097.84,434.4,East
O000192,2024-10-24,C0938,P0117,7,378.36,213.12,2648.52,1156.68,West
O000193,2024-12-08,C0907,P0001,3,457.41,372.07,1372.23,256.02,North
O000194,2024-08-11,C0427,P0086,1,418.06,246.82,418.06,171.24,East
O000195,2024-11-02,C0644,P0084,1,247.47,139.81,247.47,107.66,West
O000196,2025-05-16,C0008,P0168,7,487.16,302.2,3410.12,1294.72,East
O000197,2024-03-16,C0248,P0176,3,239.82,164.54,719.46,225.84,West
O000198,2025-03-27,C0067,P0051,4,389.14,238.97,1556.56,600.68,North
O000199,2024-09-09,C0286,P0051,7,429.79,238.97,3008.53,1335.74,North
O000200,2025-09-23,C0392,P0004,8,135.65,113.23,1085.2,179.36,South
O000201,2025-09-30,C0727,P0153,2,448.01,333.18,896.02,229.66,East
O000202,2024-09-25,C0459,P0062,5,719.67,492.73,3598.35,1134.7,South
O000203,2024-09-22,C0714,P0010,5,466.2,303.84,2331.0,811.8,North
O000204,2024-11-13,C0792,P0045,2,797.97,450.31,1595.94,695.32,West
O000205,2024-01-16,C0198,P0017,3,684.15,468.64,2052.45,646.53,North
O000206,2025-04-21,C0359,P0132,3,603.13,459.15,1809.39,431.94,North
O000207,2025-12-15,C0791,P0040,5,84.08,47.4,420.4,183.4,West
O000208,2025-11-10,C0171,P0024,5,211.23,136.12,1056.15,375.55,South
O000209,2025-12-30,C0250,P0008,8,167.81,142.55,1342.48,202.08,East
O000210,2025-07-29,C0215,P0094,9,590.97,342.62,5318.73,2235.15,North
O000211,2025-04-27,C0202,P0167,7,97.48,55.44,682.36,294.28,North
O000212,2025-07-03,C0532,P0138,7,411.62,244.88,2881.34,1167.18,East
O000213,2024-10-03,C0701,P0050,1,392.26,271.92,392.26,120.34,North
O000214,2024-06-11,C0720,P0160,4,669.6,475.06,2678.4,778.16,East
O000215,2024-08-18,C0021,P0047,2,507.68,296.28,1015.36,422.8,East
O000216,2025-07-09,C0554,P0005,5,428.37,282.82,2141.85,727.75,East
O000217,2024-12-18,C0271,P0015,5,343.75,193.16,1718.75,752.95,West
O000218,2025-03-22,C0185,P0002,9,549.61,369.55,4946.49,1620.54,South
O000219,2024-02-23,C0889,P0007,5,666.65,380.61,3333.25,1430.2,South
O000220,2024-10-12,C0323,P0041,9,92.34,68.55,831.06,214.11,West
O000221,2025-09-11,C0020,P0024,1,207.43,136.12,207.43,71.31,South
O000222,2024-02-18,C0582,P0146,3,292.25,241.1,876.75,153.45,South
O000223,2024-11-16,C0846,P0102,5,693.12,411.17,3465.6,1409.75,South
O000224,2024-06-22,C0236,P0080,9,273.88,154.75,2464.92,1072.17,North
O000225,2024-06-22,C0768,P0079,6,248.95,146.07,1493.7,617.28,West
O000226,2025-10-30,C0836,P0156,3,198.23,172.06,594.69,78.51,South
O000227,2024-10-28,C0738,P0195,3,209.97,117.6,629.91,277.11,West
O000228,2025-08-25,C0646,P0123,3,71.89,46.97,215.67,74.76,South
O000229,2024-11-19,C0678,P0040,2,81.39,47.4,162.78,67.98,South
O000230,2025-06-17,C0724,P0105,3,555.68,322.53,1667.04,699.45,West
O000231,2024-04-18,C0916,P0082,7,95.77,56.28,670.39,276.43,East
O000232,2025-03-20,C0146,P0157,1,221.47,129.87,221.47,91.6,West
O000233,2025-02-06,C0435,P0109,5,532.78,305.07,2663.9,1138.55,East
O000234,2025-11-05,C0247,P0168,1,419.88,302.2,419.88,117.68,North
O000235,2025-10-24,C0321,P0066,8,355.72,273.39,2845.76,658.64,West
O000236,2024-05-18,C0172,P0193,4,428.41,296.85,1713.64,526.24,East
O000237,2025-10-09,C0322,P0171,2,486.61,412.05,973.22,149.12,South
O000238,2024-10-09,C0842,P0014,9,635.03,387.67,5715.27,2226.24,North
O000239,2025-10-29,C0210,P0035,1,739.66,421.63,739.66,318.03,West
O000240,2025-05-28,C0717,P0178,4,458.54,307.11,1834.16,605.72,East
O000241,2024-05-10,C0513,P0117,1,267.27,213.12,267.27,54.15,East
O000242,2024-09-15,C0585,P0054,2,44.12,35.0,88.24,18.24,West
O000243,2024-08-28,C0521,P0068,9,99.25,82.93,893.25,146.88,East
O000244,2024-01-07,C0571,P0098,3,555.11,462.62,1665.33,277.47,West
O000245,2025-02-17,C0475,P0160,6,662.35,475.06,3974.1,1123.74,East
O000246,2025-05-04,C0281,P0116,4,452.43,350.12,1809.72,409.24,South
O000247,2025-02-13,C0270,P0008,9,233.14,142.55,2098.26,815.31,West
O000248,2025-04-10,C0238,P0160,2,735.48,475.06,1470.96,520.84,West
O000249,2024-03-07,C0050,P0075,4,280.81,161.51,1123.24,477.2,North
O000250,2024-11-03,C0436,P0040,8,61.45,47.4,491.6,112.4,South
O000251,2024-01-03,C0051,P0027,4,300.5,249.29,1202.0,204.84,West
O000252,2024-08-02,C0830,P0007,1,492.72,380.61,492.72,112.11,East
O000253,2025-12-20,C0992,P0132,6,625.45,459.15,3752.7,997.8,East
O000254,2025-07-22,C0718,P0154,2,749.76,434.09,1499.52,631.34,East
O000255,2024-02-29,C0968,P0004,3,164.58,113.23,493.74,154.05,North
O000256,2024-02-10,C0010,P0039,6,218.71,123.53,1312.26,571.08,West
O000257,2024-05-20,C0040,P0187,4,483.14,292.87,1932.56,761.08,East
O000258,2024-04-01,C0183,P0027,5,351.66,249.29,1758.3,511.85,North
O000259,2025-06-10,C0674,P0004,1,137.58,113.23,137.58,24.35,North
O000260,2024-11-30,C0539,P0002,7,428.78,369.55,3001.46,414.61,West
O000261,2025-01-27,C0498,P0001,4,433.68,372.07,1734.72,246.44,East
O000262,2025-01-05,C0184,P0160,4,552.35,475.06,2209.4,309.16,South
O000263,2024-09-13,C0372,P0005,3,497.59,282.82,1492.77,644.31,East
O000264,2024-01-26,C0799,P0200,8,434.71,241.96,3477.68,1542.0,South
O000265,2024-06-23,C0434,P0196,6,477.22,355.47,2863.32,730.5,South
O000266,2025-07-17,C0669,P0113,7,319.49,218.49,2236.43,707.0,East
O000267,2025-09-11,C0516,P0186,3,248.42,205.18,745.26,129.72,South
O000268,2024-03-11,C0177,P0129,3,166.07,125.77,498.21,120.9,North
O000269,2024-05-17,C0365,P0105,2,415.6,322.53,831.2,186.14,North
O000270,2024-10-24,C0776,P0069,10,51.49,38.92,514.9,125.7,East
O000271,2024-03-23,C0710,P0180,5,195.93,110.0,979.65,429.65,West
O000272,2024-10-03,C0339,P0153,9,456.62,333.18,4109.58,1110.96,North
O000273,2024-01-21,C0978,P0007,8,489.69,380.61,3917.52,872.64,East
O000274,2025-02-22,C0215,P0018,5,371.85,269.4,1859.25,512.25,South
O000275,2025-01-01,C0959,P0012,2,490.37,415.56,980.74,149.62,North
O000276,2024-04-17,C0005,P0191,10,83.11,64.18,831.1,189.3,East
O000277,2024-01-25,C0591,P0068,3,145.31,82.93,435.93,187.14,East
O000278,2024-04-03,C0166,P0035,8,600.72,421.63,4805.76,1432.72,West
O000279,2024-03-31,C0388,P0081,4,509.72,335.59,2038.88,696.52,South
O000280,2025-11-24,C0643,P0187,8,371.94,292.87,2975.52,632.56,South
O000281,2025-05-21,C0396,P0115,7,202.84,158.1,1419.88,313.18,South
O000282,2025-10-25,C0821,P0135,10,586.76,408.43,5867.6,1783.3,East
O000283,2025-08-30,C0404,P0079,9,257.13,146.07,2314.17,999.54,East
O000284,2024-03-26,C0457,P0121,9,393.79,223.87,3544.11,1529.28,South
O000285,2024-07-09,C0475,P0191,5,84.05,64.18,420.25,99.35,East
O000286,2024-07-06,C0553,P0117,2,252.44,213.12,504.88,78.64,West
O000287,2025-02-14,C0147,P0179,7,441.76,249.68,3092.32,1344.56,East
O000288,2025-03-02,C0048,P0050,3,397.34,271.92,1192.02,376.26,East
O000289,2024-09-27,C0741,P0151,7,145.09,86.7,1015.63,408.73,North
O000290,2024-12-05,C0784,P0031,5,545.47,342.45,2727.35,1015.1,West
O000291,2024-03-29,C0215,P0136,2,303.25,225.73,606.5,155.04,North
O000292,2024-11-20,C0710,P0019,4,259.25,192.83,1037.0,265.68,South
O000293,2025-03-31,C0678,P0118,1,384.6,286.71,384.6,97.89,South
O000294,2025-02-21,C0335,P0146,5,426.01,241.1,2130.05,924.55,West
O000295,2024-06-14,C0864,P0002,5,655.37,369.55,3276.85,1429.1,East
O000296,2025-02-27,C0120,P0136,8,322.91,225.73,2583.28,777.44,North
O000297,2024-06-27,C0959,P0119,8,208.47,155.42,1667.76,424.4,West
O000298,2025-12-28,C0892,P0041,10,100.37,68.55,1003.7,318.2,North
O000299,2025-01-04,C0652,P0004,3,142.49,113.23,427.47,87.78,East
O000300,2025-08-09,C0374,P0104,8,619.24,432.85,4953.92,1491.12,North
O000301,2025-07-11,C0748,P0089,8,438.39,371.91,3507.12,531.84,West
O000302,2024-07-04,C0239,P0072,6,433.11,330.4,2598.66,616.26,East
O000303,2025-03-17,C0069,P0194,6,217.98,145.08,1307.88,437.4,East
O000304,2024-01-28,C0532,P0196,10,634.17,355.47,6341.7,2787.0,West
O000305,2025-08-01,C0793,P0022,10,56.63,37.76,566.3,188.7,East
O000306,2025-05-12,C0494,P0187,1,438.5,292.87,438.5,145.63,North
O000307,2025-12-30,C0969,P0056,1,126.17,74.39,126.17,51.78,South
O000308,2024-12-28,C0384,P0052,8,71.47,51.69,571.76,158.24,West
O000309,2025-01-03,C0531,P0183,3,442.75,361.44,1328.25,243.93,North
O000310,2025-03-20,C0417,P0035,9,725.68,421.63,6531.12,2736.45,East
O000311,2025-09-20,C0311,P0187,8,446.54,292.87,3572.32,1229.36,South
O000312,2024-12-27,C0024,P0018,9,434.64,269.4,3911.76,1487.16,North
O000313,2025-02-12,C0706,P0076,9,309.32,231.85,2783.88,697.23,West
O000314,2025-05-18,C0062,P0002,6,454.02,369.55,2724.12,506.82,East
O000315,2024-01-14,C0453,P0124,3,79.17,51.23,237.51,83.82,West
O000316,2024-10-07,C0351,P0096,4,127.21,81.5,508.84,182.84,North
O000317,2025-05-12,C0345,P0029,9,57.02,36.45,513.18,185.13,South
O000318,2025-01-22,C0476,P0149,6,138.75,113.61,832.5,150.84,North
O000319,2025-09-20,C0298,P0169,10,242.3,176.87,2423.0,654.3,North
O000320,2025-01-05,C0701,P0031,7,551.47,342.45,3860.29,1463.14,East
O000321,2025-08-14,C0725,P0163,9,420.26,304.92,3782.34,1038.06,West
O000322,2025-04-14,C0913,P0031,4,483.88,342.45,1935.52,565.72,North
O000323,2025-08-18,C0421,P0052,9,66.81,51.69,601.29,136.08,North
O000324,2025-11-21,C0215,P0076,3,322.88,231.85,968.64,273.09,South
O000325,2025-10-19,C0214,P0011,7,81.16,66.79,568.12,100.59,South
O000326,2024-12-15,C0494,P0168,8,533.64,302.2,4269.12,1851.52,West
O000327,2025-03-07,C0052,P0198,4,577.46,472.32,2309.84,420.56,West
O000328,2024-08-28,C0806,P0049,5,367.6,259.51,1838.0,540.45,East
O000329,2024-06-21,C0574,P0123,1,83.32,46.97,83.32,36.35,West
O000330,2024-06-24,C0533,P0196,1,503.99,355.47,503.99,148.52,South
O000331,2024-05-22,C0939,P0015,2,331.15,193.16,662.3,275.98,West
O000332,2024-04-15,C0602,P0092,7,134.96,78.31,944.72,396.55,North
O000333,2025-10-26,C0456,P0036,2,105.66,80.66,211.32,50.0,West
O000334,2025-04-30,C0788,P0020,2,545.02,343.88,1090.04,402.28,West
O000335,2024-02-22,C0668,P0067,9,51.9,29.82,467.1,198.72,East
O000336,2025-06-10,C0172,P0112,7,520.41,344.99,3642.87,1227.94,North
O000337,2024-08-20,C0437,P0173,3,123.63,92.19,370.89,94.32,East
O000338,2024-11-14,C0223,P0045,5,708.9,450.31,3544.5,1292.95,South
O000339,2025-11-19,C0045,P0036,10,117.18,80.66,1171.8,365.2,West
O000340,2025-01-09,C0718,P0138,3,414.61,244.88,1243.83,509.19,West
O000341,2024-04-24,C0164,P0108,9,397.08,300.3,3573.72,871.02,South
O000342,2024-04-26,C0045,P0134,9,420.41,299.75,3783.69,1085.94,East
O000343,2025-02-09,C0190,P0039,2,152.15,123.53,304.3,57.24,North
O000344,2024-11-09,C0119,P0020,10,518.19,343.88,5181.9,1743.1,East
O000345,2025-11-28,C0860,P0132,3,772.52,459.15,2317.56,940.11,East
O000346,2024-02-21,C0710,P0065,3,189.16,112.76,567.48,229.2,North
O000347,2024-05-07,C0485,P0022,8,46.14,37.76,369.12,67.04,West
O000348,2024-01-19,C0685,P0025,7,215.5,135.06,1508.5,563.08,East
